id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
201,678,1,1,stock_quant multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
202,674,1,1,stock_warehouse.orderpoint multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
203,673,1,1,product_pulled_flow multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
204,670,1,1,stock_route multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
205,686,1,1,stock_package multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
206,682,1,1,stock_scrap_company multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
207,691,1,1,report_stock_quantity_flow multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
208,687,1,1,stock_storage_category multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
209,719,1,1,Stock Average Cost Report multi-company,"[('company_id','in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:31:08.152547,2026-03-18 05:31:08.152547
210,718,1,1,Product Value multi-company,"[('company_id','in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:31:08.152547,2026-03-18 05:31:08.152547
211,722,1,1,Stock Report multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:31:12.999025,2026-03-18 05:31:12.999025
