menu_id	depth	is_leaf	children	opens	path
73	4	1	0	ir.actions.act_window,92	Settings / Technical / User Interface / Onboardings Steps
69	4	1	0	ir.actions.act_window,86	Settings / Technical / User Interface / Tours
30	4	1	0	ir.actions.act_window,18	Settings / Technical / User Interface / User-defined Filters
44	4	1	0	ir.actions.act_window,31	Settings / Technical / User Interface / Views
4	2	0	3		Settings / Translations
5	3	0	1		Settings / Translations / Application Terms
716	4	1	0	ir.actions.server,1102	Settings / Translations / Application Terms / Transifex Code Translations
6	4	0	2		Settings / Translations / Import / Export
56	5	1	0	ir.actions.act_window,48	Settings / Translations / Import / Export / Export Translation
54	5	1	0	ir.actions.act_window,45	Settings / Translations / Import / Export / Import Translation
59	3	1	0	ir.actions.act_window,54	Settings / Translations / Languages
3	2	0	5		Settings / Users & Companies
58	3	1	0	ir.actions.act_window,53	Settings / Users & Companies / Companies
61	3	1	0	ir.actions.act_window,68	Settings / Users & Companies / Groups
734	3	1	0	ir.actions.act_window,1125	Settings / Users & Companies / OAuth Providers
60	3	1	0	ir.actions.act_window,67	Settings / Users & Companies / Privileges
62	3	1	0	ir.actions.act_window,70	Settings / Users & Companies / Users
435	1	0	3		Surveys
438	2	1	0	ir.actions.act_window,706	Surveys / Participants
436	2	0	3		Surveys / Questions & Answers
441	3	1	0	ir.actions.act_window,707	Surveys / Questions & Answers / Detailed Answers
439	3	1	0	ir.actions.act_window,708	Surveys / Questions & Answers / Questions
440	3	1	0	ir.actions.act_window,709	Surveys / Questions & Answers / Suggested Values
437	2	1	0	ir.actions.act_window,705	Surveys / Surveys
16	1	1	0		Tests
559	1	0	5		Time Off
572	2	0	5		Time Off / Configuration
574	3	1	0	ir.actions.act_window,882	Time Off / Configuration / Accrual Plans
577	3	1	0	ir.actions.act_window,884	Time Off / Configuration / Activity Types
576	3	1	0	ir.actions.act_window,883	Time Off / Configuration / Mandatory Days
575	3	1	0	ir.actions.act_window,870	Time Off / Configuration / Public Holidays
573	3	1	0	ir.actions.act_window,877	Time Off / Configuration / Time Off Types
565	2	0	2		Time Off / Management
567	3	1	0	ir.actions.act_window,881	Time Off / Management / Allocations
566	3	1	0	ir.actions.act_window,874	Time Off / Management / Time Off
560	2	0	3		Time Off / My Time
561	3	1	0	ir.actions.act_window,871	Time Off / My Time / Dashboard
563	3	1	0	ir.actions.act_window,878	Time Off / My Time / My Allocations
562	3	1	0	ir.actions.act_window,873	Time Off / My Time / My Time Off
564	2	1	0	ir.actions.act_window,888	Time Off / Overview
568	2	0	3		Time Off / Reporting
571	3	1	0	ir.actions.server,890	Time Off / Reporting / Balance
569	3	1	0	ir.actions.act_window,876	Time Off / Reporting / by Employee
570	3	1	0	ir.actions.act_window,886	Time Off / Reporting / by Type
646	1	0	4		Timesheets
656	2	1	0	ir.actions.act_window,999	Timesheets / Configuration
647	2	1	0	ir.actions.act_window,993	Timesheets / My Timesheets
651	2	0	2		Timesheets / Reporting
652	3	0	4		Timesheets / Reporting / Timesheets
659	4	1	0	ir.actions.act_window,1012	Timesheets / Reporting / Timesheets / Attendance Analysis
681	4	1	0	ir.actions.act_window,1042	Timesheets / Reporting / Timesheets / By Billing Type
653	4	1	0	ir.actions.act_window,1000	Timesheets / Reporting / Timesheets / By Employee
654	4	1	0	ir.actions.act_window,1001	Timesheets / Reporting / Timesheets / By Project
655	4	1	0	ir.actions.act_window,1002	Timesheets / Reporting / Timesheets / By Task
648	2	0	2		Timesheets / Timesheets
650	3	1	0	ir.actions.act_window,996	Timesheets / Timesheets / All Timesheets
649	3	1	0	ir.actions.act_window,993	Timesheets / Timesheets / My Timesheets
323	1	1	0	ir.actions.act_window,475	To-do
279	1	0	3		Website
297	2	0	8		Website / Configuration
299	3	1	0	ir.actions.act_window,405	Website / Configuration / Apps
717	3	0	3		Website / Configuration / Blog
718	4	1	0	ir.actions.act_window,1104	Website / Configuration / Blog / Blogs
720	4	1	0	ir.actions.act_window,1106	Website / Configuration / Blog / Tag Categories
719	4	1	0	ir.actions.act_window,1105	Website / Configuration / Blog / Tags
722	3	0	5		Website / Configuration / Forum
726	4	1	0	ir.actions.act_window,696	Website / Configuration / Forum / Badges
727	4	1	0	ir.actions.act_window,1113	Website / Configuration / Forum / Close Reasons
723	4	1	0	ir.actions.act_window,1115	Website / Configuration / Forum / Forums
724	4	1	0	ir.actions.act_window,694	Website / Configuration / Forum / Ranks
725	4	1	0	ir.actions.act_window,1114	Website / Configuration / Forum / Tags
685	3	0	2		Website / Configuration / Mailing Lists
686	4	1	0	ir.actions.act_window,1054	Website / Configuration / Mailing Lists / Mailing Lists
687	4	1	0	ir.actions.act_window,1053	Website / Configuration / Mailing Lists / Moderation Rules
301	3	1	0	ir.actions.act_window,408	Website / Configuration / Menus
302	3	1	0	ir.actions.act_window,424	Website / Configuration / Redirects
298	3	1	0	ir.actions.act_window,423	Website / Configuration / Settings
