id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1843,1287,159,1,1,hr.referral.reward.report,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1844,1283,159,1,1,hr.referral.onboarding.admin,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1845,1283,158,1,1,hr.referral.onboarding.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1846,1284,159,1,1,hr.referral.level.admin,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1847,1284,158,1,1,hr.referral.level.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1848,1285,158,1,1,hr.referral.friend.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1849,1285,159,1,1,hr.referral.friend.admin,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1850,1289,158,1,1,access.hr.referral.link.to.share,t,t,t,t,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1851,1290,158,1,1,access.hr.referral.send.mail,t,t,t,t,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1852,1291,158,1,1,access.hr.referral.send.sms,t,t,t,t,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1853,1041,158,1,1,hr.applicant.referral.user,t,t,f,f,f,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1854,1288,159,1,1,hr.referral.alert.mail.wizard.user,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1855,1292,105,1,1,hr.referral.campaign.wizard.user,t,t,t,t,t,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114
1856,1293,161,1,1,hr.appraisal.user,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1857,1295,1,1,1,hr.appraisal.note.user,t,t,f,f,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1858,1295,162,1,1,hr.appraisal.note.manager,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1859,1294,1,1,1,hr.appraisal.goal.user,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1860,1294,162,1,1,hr.appraisal.goal.manager,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1861,1296,1,1,1,hr.appraisal.goal.tag.user,t,t,f,f,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1862,1296,162,1,1,hr.appraisal.goal.tag.manager,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1863,1293,1,1,1,hr.appraisal.employee,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1864,1298,1,1,1,access.request.appraisal,t,t,t,t,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1865,1297,1,1,1,hr.appraisal.template,t,t,f,f,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1866,1297,161,1,1,hr.appraisal.template,t,t,t,t,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1867,1297,162,1,1,hr.appraisal.template,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1868,1299,1,1,1,hr.appraisal.hr_appraisal_campaign_wizard,t,t,t,t,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1869,1299,161,1,1,hr.appraisal.hr_appraisal_campaign_wizard,t,t,t,t,f,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1870,1299,162,1,1,hr.appraisal.hr_appraisal_campaign_wizard,t,t,t,t,t,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
1871,1301,161,1,1,hr.appraisal.skill,t,t,t,t,t,2026-02-09 14:46:21.323125,2026-02-09 14:46:21.323125
1872,1301,1,1,1,hr.appraisal.skill,t,t,t,t,t,2026-02-09 14:46:21.323125,2026-02-09 14:46:21.323125
1873,1300,1,1,1,hr.appraisal.goal.skill,t,t,t,t,t,2026-02-09 14:46:21.323125,2026-02-09 14:46:21.323125
1874,1302,65,1,1,hr.appraisal.skill.report,t,t,f,f,f,2026-02-09 14:46:21.323125,2026-02-09 14:46:21.323125
1875,1303,1,1,1,appraisal.ask.feedback.user,t,t,t,t,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1876,1304,1,1,1,appraisal.select.survey.user,t,t,t,t,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1877,838,1,1,1,survey.survey.user,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1878,839,1,1,1,survey.user_input.user,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1879,839,162,1,1,survey.user_input.appraisal.manager,t,t,t,t,t,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1880,840,162,1,1,survey.user.input.line.appraisal.manager,t,t,t,t,t,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1881,838,162,1,1,survey.survey.appraisal.manager,t,t,t,t,t,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1882,836,162,1,1,access.survey.question.appraisal.manager,t,t,t,t,t,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1883,837,162,1,1,access.survey.question.answer.appraisal.manager,t,t,t,t,t,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1884,839,161,1,1,survey.user_input.line.appraisal.user,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1885,840,161,1,1,survey.user_input.line.appraisal.user,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1886,840,1,1,1,survey.user_input.line.user.base,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1887,836,1,1,1,survey.question.user,t,t,f,f,f,2026-02-09 14:46:22.329286,2026-02-09 14:46:22.329286
1902,1310,1,1,1,iot.box,t,t,f,f,f,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1903,1312,1,1,1,iot.device,t,t,f,f,f,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
1904,1310,166,1,1,iot.box,t,t,t,f,t,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867
