source_table,constraint,source_column,target_table,target_column
account_bank_statement_line,account_bank_statement_line_move_id_fkey,move_id,account_move,id
account_bank_statement_line,account_bank_statement_line_online_account_id_fkey,online_account_id,account_online_account,id
account_bank_statement_line,account_bank_statement_line_online_link_id_fkey,online_link_id,account_online_link,id
account_bank_statement_line,account_bank_statement_line_partner_id_fkey,partner_id,res_partner,id
account_bank_statement_line,account_bank_statement_line_statement_id_fkey,statement_id,account_bank_statement,id
account_bank_statement_line_transient,account_bank_statement_line_transient_company_id_fkey,company_id,res_company,id
account_bank_statement_line_transient,account_bank_statement_line_transient_create_uid_fkey,create_uid,res_users,id
account_bank_statement_line_transient,account_bank_statement_line_transient_foreign_currency_id_fkey,foreign_currency_id,res_currency,id
account_bank_statement_line_transient,account_bank_statement_line_transient_journal_id_fkey,journal_id,account_journal,id
account_bank_statement_line_transient,account_bank_statement_line_transient_online_account_id_fkey,online_account_id,account_online_account,id
account_bank_statement_line_transient,account_bank_statement_line_transient_write_uid_fkey,write_uid,res_users,id
account_bank_statement_line,account_bank_statement_line_write_uid_fkey,write_uid,res_users,id
account_bank_statement,account_bank_statement_message_main_attachment_id_fkey,message_main_attachment_id,ir_attachment,id
account_bank_statement,account_bank_statement_write_uid_fkey,write_uid,res_users,id
account_cash_rounding,account_cash_rounding_create_uid_fkey,create_uid,res_users,id
account_cash_rounding,account_cash_rounding_write_uid_fkey,write_uid,res_users,id
account_change_lock_date,account_change_lock_date_company_id_fkey,company_id,res_company,id
account_change_lock_date,account_change_lock_date_create_uid_fkey,create_uid,res_users,id
account_change_lock_date,account_change_lock_date_write_uid_fkey,write_uid,res_users,id
account_duplicate_transaction_wizard,account_duplicate_transaction_wizard_create_uid_fkey,create_uid,res_users,id
account_duplicate_transaction_wizard,account_duplicate_transaction_wizard_journal_id_fkey,journal_id,account_journal,id
account_duplicate_transaction_wizard,account_duplicate_transaction_wizard_write_uid_fkey,write_uid,res_users,id
account_financial_year_op,account_financial_year_op_company_id_fkey,company_id,res_company,id
account_financial_year_op,account_financial_year_op_create_uid_fkey,create_uid,res_users,id
account_financial_year_op,account_financial_year_op_write_uid_fkey,write_uid,res_users,id
account_fiscal_category,account_fiscal_category_company_id_fkey,company_id,res_company,id
account_fiscal_category,account_fiscal_category_create_uid_fkey,create_uid,res_users,id
account_fiscal_category,account_fiscal_category_write_uid_fkey,write_uid,res_users,id
account_fiscal_position_account,account_fiscal_position_account_account_dest_id_fkey,account_dest_id,account_account,id
account_fiscal_position_account_tax_rel,account_fiscal_position_account_account_fiscal_position_id_fkey,account_fiscal_position_id,account_fiscal_position,id
account_fiscal_position_account,account_fiscal_position_account_account_src_id_fkey,account_src_id,account_account,id
account_fiscal_position_account,account_fiscal_position_account_company_id_fkey,company_id,res_company,id
account_fiscal_position_account,account_fiscal_position_account_create_uid_fkey,create_uid,res_users,id
account_fiscal_position_account,account_fiscal_position_account_position_id_fkey,position_id,account_fiscal_position,id
account_fiscal_position_account_tax_rel,account_fiscal_position_account_tax_rel_account_tax_id_fkey,account_tax_id,account_tax,id
account_fiscal_position_account,account_fiscal_position_account_write_uid_fkey,write_uid,res_users,id
account_fiscal_position,account_fiscal_position_company_id_fkey,company_id,res_company,id
account_fiscal_position,account_fiscal_position_country_group_id_fkey,country_group_id,res_country_group,id
account_fiscal_position,account_fiscal_position_country_id_fkey,country_id,res_country,id
account_fiscal_position,account_fiscal_position_create_uid_fkey,create_uid,res_users,id
account_fiscal_position_res_country_state_rel,account_fiscal_position_res_cou_account_fiscal_position_id_fkey,account_fiscal_position_id,account_fiscal_position,id
account_fiscal_position_res_country_state_rel,account_fiscal_position_res_country_s_res_country_state_id_fkey,res_country_state_id,res_country_state,id
account_fiscal_position,account_fiscal_position_write_uid_fkey,write_uid,res_users,id
account_fiscal_year,account_fiscal_year_company_id_fkey,company_id,res_company,id
account_fiscal_year,account_fiscal_year_create_uid_fkey,create_uid,res_users,id
account_fiscal_year,account_fiscal_year_write_uid_fkey,write_uid,res_users,id
account_followup_followup_line_res_users_rel,account_followup_followup_lin_account_followup_followup_li_fkey,account_followup_followup_line_id,account_followup_followup_line,id
account_followup_followup_line,account_followup_followup_line_activity_type_id_fkey,activity_type_id,mail_activity_type,id
account_followup_followup_line,account_followup_followup_line_company_id_fkey,company_id,res_company,id
account_followup_followup_line,account_followup_followup_line_create_uid_fkey,create_uid,res_users,id
account_followup_followup_line,account_followup_followup_line_mail_template_id_fkey,mail_template_id,mail_template,id
account_followup_followup_line_res_users_rel,account_followup_followup_line_res_users_rel_res_users_id_fkey,res_users_id,res_users,id
account_followup_followup_line,account_followup_followup_line_sms_template_id_fkey,sms_template_id,sms_template,id
account_followup_followup_line,account_followup_followup_line_write_uid_fkey,write_uid,res_users,id
account_followup_manual_reminder_ir_attachment_rel,account_followup_manual_remin_account_followup_manual_remi_fkey,account_followup_manual_reminder_id,account_followup_manual_reminder,id
account_followup_manual_reminder,account_followup_manual_reminder_create_uid_fkey,create_uid,res_users,id
account_followup_manual_reminder_ir_attachment_rel,account_followup_manual_reminder_ir_attac_ir_attachment_id_fkey,ir_attachment_id,ir_attachment,id
account_followup_manual_reminder,account_followup_manual_reminder_partner_id_fkey,partner_id,res_partner,id
account_followup_manual_reminder,account_followup_manual_reminder_sms_template_id_fkey,sms_template_id,sms_template,id
account_followup_manual_reminder,account_followup_manual_reminder_template_id_fkey,template_id,mail_template,id
