table,columns,reference_table,constraint,definition
account_analytic_plan,write_uid,res_users,account_analytic_plan_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_asset,account_asset_id,account_account,account_asset_account_asset_id_fkey,FOREIGN KEY (account_asset_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_asset,account_depreciation_expense_id,account_account,account_asset_account_depreciation_expense_id_fkey,FOREIGN KEY (account_depreciation_expense_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_asset,account_depreciation_id,account_account,account_asset_account_depreciation_id_fkey,FOREIGN KEY (account_depreciation_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_asset,model_id,account_asset,account_asset_model_id_fkey,FOREIGN KEY (model_id) REFERENCES public.account_asset(id) ON DELETE SET NULL
account_asset,parent_id,account_asset,account_asset_parent_id_fkey,FOREIGN KEY (parent_id) REFERENCES public.account_asset(id) ON DELETE SET NULL
account_asset,asset_group_id,account_asset_group,account_asset_asset_group_id_fkey,FOREIGN KEY (asset_group_id) REFERENCES public.account_asset_group(id) ON DELETE SET NULL
account_asset,journal_id,account_journal,account_asset_journal_id_fkey,FOREIGN KEY (journal_id) REFERENCES public.account_journal(id) ON DELETE SET NULL
account_asset,vehicle_id,fleet_vehicle,account_asset_vehicle_id_fkey,FOREIGN KEY (vehicle_id) REFERENCES public.fleet_vehicle(id) ON DELETE SET NULL
account_asset,name_asset,maintenance_equipment,account_asset_name_asset_fkey,FOREIGN KEY (name_asset) REFERENCES public.maintenance_equipment(id) ON DELETE SET NULL
account_asset,company_id,res_company,account_asset_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE RESTRICT
account_asset,currency_id,res_currency,account_asset_currency_id_fkey,FOREIGN KEY (currency_id) REFERENCES public.res_currency(id) ON DELETE SET NULL
account_asset,create_uid,res_users,account_asset_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_asset,write_uid,res_users,account_asset_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_asset_group,company_id,res_company,account_asset_group_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE SET NULL
account_asset_group,create_uid,res_users,account_asset_group_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_asset_group,write_uid,res_users,account_asset_group_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_asset_maintenance_equipment_category_rel,account_asset_id,account_asset,account_asset_maintenance_equipment_categ_account_asset_id_fkey,FOREIGN KEY (account_asset_id) REFERENCES public.account_asset(id) ON DELETE CASCADE
account_asset_maintenance_equipment_category_rel,maintenance_equipment_category_id,maintenance_equipment_category,account_asset_maintenance_equ_maintenance_equipment_catego_fkey,FOREIGN KEY (maintenance_equipment_category_id) REFERENCES public.maintenance_equipment_category(id) ON DELETE CASCADE
account_audit_account_status,account_id,account_account,account_audit_account_status_account_id_fkey,FOREIGN KEY (account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_audit_account_status,audit_id,account_return,account_audit_account_status_audit_id_fkey,FOREIGN KEY (audit_id) REFERENCES public.account_return(id) ON DELETE CASCADE
account_audit_account_status,create_uid,res_users,account_audit_account_status_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_audit_account_status,write_uid,res_users,account_audit_account_status_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_auto_reconcile_wizard,company_id,res_company,account_auto_reconcile_wizard_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE CASCADE
account_auto_reconcile_wizard,create_uid,res_users,account_auto_reconcile_wizard_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_auto_reconcile_wizard,write_uid,res_users,account_auto_reconcile_wizard_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_auto_reconcile_wizard_account_move_line_rel,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,account_auto_reconcile_wizard_account_auto_reconcile_wizar_fkey,FOREIGN KEY (account_auto_reconcile_wizard_id) REFERENCES public.account_auto_reconcile_wizard(id) ON DELETE CASCADE
account_auto_reconcile_wizard_account_move_line_rel,account_move_line_id,account_move_line,account_auto_reconcile_wizard_account_account_move_line_id_fkey,FOREIGN KEY (account_move_line_id) REFERENCES public.account_move_line(id) ON DELETE CASCADE
account_auto_reconcile_wizard_res_partner_rel,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,account_auto_reconcile_wizar_account_auto_reconcile_wizar_fkey1,FOREIGN KEY (account_auto_reconcile_wizard_id) REFERENCES public.account_auto_reconcile_wizard(id) ON DELETE CASCADE
account_auto_reconcile_wizard_res_partner_rel,res_partner_id,res_partner,account_auto_reconcile_wizard_res_partner_r_res_partner_id_fkey,FOREIGN KEY (res_partner_id) REFERENCES public.res_partner(id) ON DELETE CASCADE
account_automatic_entry_wizard,destination_account_id,account_account,account_automatic_entry_wizard_destination_account_id_fkey,FOREIGN KEY (destination_account_id) REFERENCES public.account_account(id) ON DELETE SET NULL
account_automatic_entry_wizard,company_id,res_company,account_automatic_entry_wizard_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE CASCADE
account_automatic_entry_wizard,create_uid,res_users,account_automatic_entry_wizard_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_automatic_entry_wizard,write_uid,res_users,account_automatic_entry_wizard_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizard_id,account_automatic_entry_wizard,account_automatic_entry_wizar_account_automatic_entry_wiza_fkey,FOREIGN KEY (account_automatic_entry_wizard_id) REFERENCES public.account_automatic_entry_wizard(id) ON DELETE CASCADE
account_automatic_entry_wizard_account_move_line_rel,account_move_line_id,account_move_line,account_automatic_entry_wizard_accoun_account_move_line_id_fkey,FOREIGN KEY (account_move_line_id) REFERENCES public.account_move_line(id) ON DELETE CASCADE
account_autopost_bills_wizard,partner_id,res_partner,account_autopost_bills_wizard_partner_id_fkey,FOREIGN KEY (partner_id) REFERENCES public.res_partner(id) ON DELETE SET NULL
account_autopost_bills_wizard,create_uid,res_users,account_autopost_bills_wizard_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_autopost_bills_wizard,write_uid,res_users,account_autopost_bills_wizard_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_bank_selection,selected_account,account_online_account,account_bank_selection_selected_account_fkey,FOREIGN KEY (selected_account) REFERENCES public.account_online_account(id) ON DELETE SET NULL
account_bank_selection,account_online_link_id,account_online_link,account_bank_selection_account_online_link_id_fkey,FOREIGN KEY (account_online_link_id) REFERENCES public.account_online_link(id) ON DELETE SET NULL
account_bank_selection,create_uid,res_users,account_bank_selection_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_bank_selection,write_uid,res_users,account_bank_selection_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_bank_statement,journal_id,account_journal,account_bank_statement_journal_id_fkey,FOREIGN KEY (journal_id) REFERENCES public.account_journal(id) ON DELETE SET NULL
account_bank_statement,message_main_attachment_id,ir_attachment,account_bank_statement_message_main_attachment_id_fkey,FOREIGN KEY (message_main_attachment_id) REFERENCES public.ir_attachment(id) ON DELETE SET NULL
account_bank_statement,company_id,res_company,account_bank_statement_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE SET NULL
account_bank_statement,currency_id,res_currency,account_bank_statement_currency_id_fkey,FOREIGN KEY (currency_id) REFERENCES public.res_currency(id) ON DELETE SET NULL
account_bank_statement,create_uid,res_users,account_bank_statement_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_bank_statement,write_uid,res_users,account_bank_statement_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_bank_statement_ir_attachment_rel,account_bank_statement_id,account_bank_statement,account_bank_statement_ir_attach_account_bank_statement_id_fkey,FOREIGN KEY (account_bank_statement_id) REFERENCES public.account_bank_statement(id) ON DELETE CASCADE
