area,technical_name,manifest_file,name,version,license,category,author,website,installable,application,auto_install,depends_count,depends,summary,parse_error
02_OTHER,l10n_pe_edi_stock,__manifest__.py,Peruvian - Electronic Delivery Note,0.1,OEEL-1,Accounting/Localizations/EDI,Vauxoo,,True,False,True,2,stock_delivery;l10n_pe_edi,Electronic Delivery Note for Peru (OSE method) and UBL 2.1,
02_OTHER,l10n_pe_pos,__manifest__.py,Peruvian - Point of Sale with Pe Doc,1.0,LGPL-3,Accounting/Localizations/Point of Sale,"Vauxoo, Odoo S.A.",,True,False,True,2,l10n_pe;point_of_sale,,
02_OTHER,l10n_pe_reports,__manifest__.py,Peru - Accounting Reports,1.0,OEEL-1,Accounting/Localizations/Reporting,"Vauxoo, Odoo SA",https://www.odoo.com/app/accounting,True,False,True,2,l10n_pe_edi;account_reports,,
02_OTHER,l10n_pe_reports_lib,__manifest__.py,Peru - Inventory and Balance Reports,1.0,OEEL-1,Accounting/Localizations/Reporting,Odoo S.A.,https://www.odoo.com/app/accounting,True,False,False,4,l10n_pe_edi;account_reports;l10n_pe_reports;l10n_pe_reports_stock,,
02_OTHER,l10n_pe_reports_stock,__manifest__.py,Peru - Stock Reports,1.0,OEEL-1,Accounting/Localizations/Reporting,"Vauxoo, Odoo SA",https://www.odoo.com/app/accounting,True,False,False,3,l10n_pe_edi;purchase;sale_stock,,
02_OTHER,l10n_ph,__manifest__.py,Philippines - Accounting,1.1,LGPL-3,Accounting/Localizations/Account Charts,Odoo PS,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations/philippines.html,True,False,['account'],3,account;base_vat;l10n_account_withholding_tax,This is the module to manage the accounting chart for The Philippines.,
02_OTHER,l10n_ph_check_printing,__manifest__.py,Philippines Checks Layout,1.0,OEEL-1,Accounting/Localizations/Check,Odoo S.A.,https://www.odoo.com/app/accounting,True,False,['l10n_ph'],2,account_check_printing;l10n_ph,Print PH Checks,
02_OTHER,l10n_ph_reports,__manifest__.py,Philippines - Accounting Reports,1.0,OEEL-1,Accounting/Localizations/Reporting,Odoo S.A.,,True,False,True,2,l10n_ph;account_reports,Accounting reports for the Philippines,
02_OTHER,l10n_pk,__manifest__.py,Pakistan - Accounting,1.1,LGPL-3,Accounting/Localizations/Account Charts,Odoo S.A.,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,True,False,['account'],1,account,,
02_OTHER,l10n_pk_hr_payroll,__manifest__.py,Pakistan - Payroll,,OEEL-1,Human Resources/Payroll,Odoo S.A.,,True,False,['hr_payroll'],1,hr_payroll,,
02_OTHER,l10n_pk_hr_payroll_account,__manifest__.py,Pakistan - Payroll with Accounting,1.0,OEEL-1,Human Resources,Odoo S.A.,,True,False,True,3,hr_payroll_account;l10n_pk;l10n_pk_hr_payroll,,
02_OTHER,l10n_pk_reports,__manifest__.py,Pakistan - Accounting Reports,1.0,OEEL-1,Accounting/Localizations/Reporting,Odoo S.A.,,True,False,"['l10n_pk', 'account_reports']",2,l10n_pk;account_reports,,
02_OTHER,l10n_pl,__manifest__.py,Poland - Accounting,2.1,LGPL-3,Accounting/Localizations/Account Charts,"Odoo S.A., Grzegorz Grzelak (OpenGLOBE) (http://www.openglobe.pl)",https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,True,False,['account'],4,base_iban;base_vat;account;account_edi_ubl_cii,,
