id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
42,10,35,1,1,1/8/35/42/,\N,"ir.actions.act_window,29","{""en_US"": ""Sequences"", ""th_TH"": ""ลำดับ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
43,1,9,1,1,1/8/9/43/,\N,"ir.actions.act_window,30","{""en_US"": ""Menu Items"", ""th_TH"": ""รายการเมนู""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
44,2,9,1,1,1/8/9/44/,\N,"ir.actions.act_window,31","{""en_US"": ""Views"", ""th_TH"": ""มุมมอง""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
45,3,9,1,1,1/8/9/45/,\N,"ir.actions.act_window,33","{""en_US"": ""Customized Views"", ""th_TH"": ""ปรับแต่ง มุมมอง""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
46,10,18,1,1,1/8/18/46/,\N,"ir.actions.act_window,34","{""en_US"": ""User-defined Defaults"", ""th_TH"": ""ค่าเริ่มต้นที่ผู้ใช้กำหนด""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
47,10,11,1,1,1/8/11/47/,\N,"ir.actions.act_window,38","{""en_US"": ""Logging"", ""th_TH"": ""การบันทึก""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
48,5,15,1,1,15/48/,\N,\N,"{""en_US"": ""Apps"", ""th_TH"": ""แอป""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
49,5,48,1,1,15/48/49/,\N,"ir.actions.act_window,39","{""en_US"": ""Main Apps"", ""th_TH"": ""แอปหลัก""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
50,15,48,1,1,15/48/50/,\N,\N,"{""en_US"": ""Theme Store"", ""th_TH"": ""ร้านค้าธีม""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
51,20,48,1,1,15/48/51/,\N,"ir.actions.act_url,40","{""en_US"": ""Third-Party Apps"", ""th_TH"": ""แอปของบุคคลที่สาม""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
52,10,48,1,1,15/48/52/,\N,"ir.actions.act_url,41","{""en_US"": ""Theme Store"", ""th_TH"": ""ร้านค้าธีม""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
