id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
71,30,12,1,1,4/12/71/,\N,\N,"{""en_US"": ""Resource"", ""th_TH"": ""แหล่งข้อมูล""}",t,2023-06-20 04:01:41.253687,2023-06-20 04:01:41.253687,\N
391,185,\N,1,1,391/,"hr,static/description/icon.svg",\N,"{""en_US"": ""Employees"", ""th_TH"": ""พนักงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
72,1,71,1,1,4/12/71/72/,\N,"ir.actions.act_window,95","{""en_US"": ""Working Times"", ""th_TH"": ""เวลาทำงาน""}",t,2023-06-20 04:01:41.253687,2023-06-20 04:01:41.253687,\N
73,2,71,1,1,4/12/71/73/,\N,"ir.actions.act_window,91","{""en_US"": ""Resource Time Off"", ""th_TH"": ""ทรัพยากรการลา""}",t,2023-06-20 04:01:41.253687,2023-06-20 04:01:41.253687,\N
74,3,71,1,1,4/12/71/74/,\N,"ir.actions.act_window,89","{""en_US"": ""Resources"", ""th_TH"": ""แหล่งข้อมูล""}",t,2023-06-20 04:01:41.253687,2023-06-20 04:01:41.253687,\N
392,0,391,1,1,391/392/,\N,\N,"{""en_US"": ""Human Resources"", ""th_TH"": ""ทรัพยากรบุคคล""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
75,270,\N,1,1,75/,"utm,static/description/icon.svg",\N,"{""en_US"": ""Link Tracker"", ""th_TH"": ""ตัวติดตามลิงก์""}",t,2023-06-20 04:01:41.883093,2023-06-20 04:01:41.883093,\N
406,1,405,1,1,391/398/405/406/,\N,"ir.actions.act_window,604","{""en_US"": ""Job Positions"", ""th_TH"": ""ตำแหน่งงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
76,99,75,1,1,75/76/,\N,\N,"{""en_US"": ""UTMs"", ""th_TH"": ""UTMs""}",t,2023-06-20 04:01:41.883093,2023-06-20 04:01:41.883093,\N
405,20,398,1,1,391/398/405/,\N,\N,"{""en_US"": ""Recruitment"", ""th_TH"": ""การรับสมัคร""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
77,1,76,1,1,75/76/77/,\N,"ir.actions.act_window,96","{""en_US"": ""Campaigns"", ""th_TH"": ""แคมเปญ""}",t,2023-06-20 04:01:41.883093,2023-06-20 04:01:41.883093,\N
396,95,391,1,1,391/396/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
78,5,76,1,1,75/76/78/,\N,"ir.actions.act_window,97","{""en_US"": ""Mediums"", ""th_TH"": ""สื่อกลาง""}",t,2023-06-20 04:01:41.883093,2023-06-20 04:01:41.883093,\N
397,99,391,1,1,391/397/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
79,10,76,1,1,75/76/79/,\N,"ir.actions.act_window,98","{""en_US"": ""Sources"", ""th_TH"": ""แหล่งที่มา""}",t,2023-06-20 04:01:41.883093,2023-06-20 04:01:41.883093,\N
410,0,398,1,1,391/398/410/,\N,"ir.actions.act_window,618","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
404,10,399,1,1,391/398/399/404/,\N,"ir.actions.act_window,607","{""en_US"": ""Tags"", ""th_TH"": ""แท็ก""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
402,5,399,1,1,391/398/399/402/,\N,"ir.actions.act_window,617","{""en_US"": ""Work Locations"", ""th_TH"": ""ตำแหน่งงาน""}",t,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955,\N
631,20,627,1,1,627/631/,\N,\N,"{""en_US"": ""Manager"", ""th_TH"": ""ผู้จัดการ""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
422,10,421,1,1,414/421/422/,\N,"ir.actions.act_window,632","{""en_US"": ""Expense Categories""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
